map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,option_pair_count,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,description_length_proxy
corridor,0.05,decision,targeted,0.97,11,2,2,2,0.18181818181818182,6,4,4,9.982142857142847,9.982142857142849,0.0,0.0,3.73333333333333,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001,3.933333333333333,4.0,1.9666666666666666,2.0,9.26
corridor,0.05,spectral_25,directional,0.97,11,5,4,20,0.45454545454545453,48,48,48,2.2000000000000006,4.0000000000000036,0.0,0.0,0.0,8.881784197001252e-16,5.10702591327572e-12,1.7787993300544258e-12,-9.25536386888162,-9.255363868876513,5.10702591327572e-12,E,0.0,4.0,0.0,1.0,21.6
corridor,0.05,spectral_25,targeted,0.97,11,5,5,20,0.45454545454545453,51,46,46,2.4964286472148536,3.9999999999999996,0.0,0.0,0.0,8.881784197001252e-16,5.849543072145025e-12,1.9892976155233555e-12,-9.255363868882363,-9.255363868876513,5.849543072145025e-12,to_001,15.733333333333333,13.0,3.1466666666666665,2.6,29.846666666666664
corridor,0.05,spectral_25,local_targeted,0.97,11,5,5,14,0.45454545454545453,51,32,32,2.7117347480106098,3.9999999999999996,0.0,0.0,0.0,8.881784197001252e-16,5.849543072145025e-12,1.9892976155233555e-12,-9.255363868882363,-9.255363868876513,5.849543072145025e-12,to_001,15.733333333333333,13.0,3.1466666666666665,2.6,26.74666666666667
open_room,0.0,all,directional,0.97,35,35,4,140,1.0,140,140,140,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S,0.0,4.0,0.0,1.0,52.0
open_room,0.0,all,targeted,0.97,35,35,35,1190,1.0,1225,1190,1190,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,394.6
open_room,0.0,all,local_targeted,0.97,35,35,35,1170,1.0,1225,1170,1170,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,393.02857142857147
open_room,0.0,endpoints,directional,0.97,35,2,4,8,0.05714285714285714,4,4,4,0.5,1.0,16.16666666666665,129.3333333333332,-1.2698021790920809e-15,0.0,24.580804226601813,24.580804226601813,-33.3333333301042,-8.75252910350239,24.580804226601813,N,0.0,4.0,0.0,1.0,139.7333333333332
open_room,0.0,endpoints,targeted,0.97,35,2,2,2,0.05714285714285714,4,2,2,10.0,10.0,7.75252910350239,15.50505820700478,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,30.0,5.0,15.0,2.5,29.50505820700478
open_room,0.0,junction,directional,0.97,35,33,4,132,0.9428571428571428,128,128,128,0.9696969696969697,1.0,0.979797979797979,129.33333333333323,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S,0.0,4.0,0.0,1.0,178.8121212121211
open_room,0.0,junction,targeted,0.97,35,33,33,1056,0.9428571428571428,1089,1056,1056,1.0113636363636365,2.0,0.011022727272727273,11.64,0.0,2.220446049250313e-16,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,818.0,118.0,24.78787878787879,3.5757575757575757,385.04
open_room,0.0,junction,local_targeted,0.97,35,33,33,1046,0.9428571428571428,1089,1046,1046,1.011472275334608,2.0,0.01112810707456979,11.64,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,818.0,118.0,24.78787878787879,3.5757575757575757,384.2369696969697
open_room,0.0,decision,directional,0.97,35,35,4,140,1.0,140,140,140,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S,0.0,4.0,0.0,1.0,52.0
open_room,0.0,decision,targeted,0.97,35,35,35,1190,1.0,1225,1190,1190,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,394.6
open_room,0.0,decision,local_targeted,0.97,35,35,35,1170,1.0,1225,1170,1170,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,393.02857142857147
open_room,0.0,spectral_25,directional,0.97,35,11,4,44,0.3142857142857143,35,35,35,1.3863636363636365,3.9999999999999996,7.1737099545454495,315.64323799999977,2.9346699044272266e-16,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,338.02505618181794
open_room,0.0,spectral_25,targeted,0.97,35,11,11,110,0.3142857142857143,121,110,110,2.118181818181818,7.0,1.0507247181541637,115.579718996958,0.0,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,234.0,38.0,21.272727272727273,3.4545454545454546,218.879718996958
open_room,0.0,spectral_25,local_targeted,0.97,35,11,11,104,0.3142857142857143,121,104,104,2.0288461538461537,7.0,0.9686947668938267,100.74425575695798,0.0,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,234.0,38.0,21.272727272727273,3.4545454545454546,203.19880121150345
open_room,0.05,all,directional,0.97,35,35,4,140,1.0,544,544,544,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E,0.0,4.0,0.0,1.0,63.542857142857144
open_room,0.05,all,targeted,0.97,35,35,35,1190,1.0,4659,4624,4624,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,483.7276190476191
open_room,0.05,all,local_targeted,0.97,35,35,35,1170,1.0,4659,4556,4556,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,480.7847619047619
open_room,0.05,endpoints,directional,0.97,35,2,4,8,0.05714285714285714,12,12,12,444.84328225861964,1197.0754624733927,15.50573005782974,124.04584046263793,7.599803820395265,1.0658141036401503e-14,23.88271740419762,23.88271740419762,-33.07273012998076,-9.19001272578314,23.88271740419762,E,0.0,4.0,0.0,1.0,139.20582084467745
open_room,0.05,endpoints,targeted,0.97,35,2,2,2,0.05714285714285714,6,4,4,10.18112926849835,10.181129268498351,7.823916412605403,15.647832825210806,3.79996070546935,1.7763568394002505e-15,0.07879917849361995,0.07879917849361995,-9.26881190427676,-9.19001272578314,0.07879917849361995,to_001,28.4,5.0,14.2,2.5,30.307828895757737
open_room,0.05,junction,directional,0.97,35,33,4,132,0.9428571428571428,520,520,520,1.8798328108672941,29.500000000000014,0.4568543775338884,60.30477783447327,0.0,3.552713678800501e-15,2.0676793610618915e-12,1.5558387911340787e-13,-9.190012725785207,-9.19001272578314,2.0676793610618915e-12,E,0.0,4.0,0.0,1.0,121.66235359204903
open_room,0.05,junction,targeted,0.97,35,33,33,1056,0.9428571428571428,4193,4160,4160,1.0130616509926855,1.9827586206896548,0.012656708316370736,13.365483982087497,0.0,4.440892098500626e-16,0.02734924538719241,0.0015504029473258907,-9.190189959150997,-9.19001272578314,0.00017723336785735455,to_001,774.6666666666666,118.0,23.474747474747474,3.5757575757575757,472.1594233760269
open_room,0.05,junction,local_targeted,0.97,35,33,33,1046,0.9428571428571428,4193,4126,4126,1.0131865233731125,1.9827586206896548,0.012777709351900089,13.365483982087493,0.0,2.220446049250313e-16,0.02734924538719241,0.0015504029473258907,-9.190189959150997,-9.19001272578314,0.00017723336785735455,to_001,774.6666666666666,118.0,23.474747474747474,3.5757575757575757,470.62912034572383
open_room,0.05,decision,directional,0.97,35,35,4,140,1.0,544,544,544,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E,0.0,4.0,0.0,1.0,63.542857142857144
open_room,0.05,decision,targeted,0.97,35,35,35,1190,1.0,4659,4624,4624,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,483.7276190476191
open_room,0.05,decision,local_targeted,0.97,35,35,35,1170,1.0,4659,4556,4556,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,480.7847619047619
open_room,0.05,spectral_25,directional,0.97,35,11,4,44,0.3142857142857143,250,250,240,15.505806734545082,87.07964232128835,4.952358853190872,217.90378954039838,0.000679671121655385,1.4210854715202004e-14,1.7093816720361694,0.8127914705868788,-10.229263045630377,-9.19001272578314,1.0392503198472376,E,0.0,4.0,0.0,1.0,259.83113023478325
open_room,0.05,spectral_25,targeted,0.97,35,11,11,110,0.3142857142857143,546,535,532,2.1809399816075454,6.792895636119077,1.1047602544377233,121.52362798814957,0.0005092371811206109,1.7763568394002505e-15,0.08270735458738354,0.03640517871868507,-9.268384276459932,-9.19001272578314,0.07837155067679191,to_009,221.89999999999998,38.0,20.172727272727272,3.4545454545454546,261.0400425482313
open_room,0.05,spectral_25,local_targeted,0.97,35,11,11,104,0.3142857142857143,546,501,498,2.1001779073648943,6.792895636119077,1.0308915717277956,107.21272345969074,1.119068057662365e-07,2.6645352591003757e-15,0.0827074800682368,0.03644954111033281,-9.26882024811312,-9.19001272578314,0.07880752232997956,to_008,221.89999999999998,38.0,20.172727272727272,3.4545454545454546,243.33817801633597
four_rooms,0.0,all,directional,0.97,51,51,4,204,1.0,204,204,204,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,71.2
four_rooms,0.0,all,targeted,0.97,51,51,51,2550,1.0,2601,2550,2550,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,2008.0,319.0,39.372549019607845,6.254901960784314,840.6
four_rooms,0.0,all,local_targeted,0.97,51,51,51,1944,1.0,2601,1944,1944,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,2008.0,319.0,39.372549019607845,6.254901960784314,798.4176470588235
four_rooms,0.0,endpoints,directional,0.97,51,2,4,8,0.0392156862745098,4,4,4,0.5,1.0,16.16666666666665,129.3333333333332,3.5334321030572166e-15,0.0,21.761209245457792,21.761209245457792,-33.3333333301042,-11.57212408464641,21.761209245457792,N,0.0,4.0,0.0,1.0,139.7333333333332
four_rooms,0.0,endpoints,targeted,0.97,51,2,2,2,0.0392156862745098,4,2,2,14.0,14.0,9.764141239865282,19.528282479730564,12.0,1.7763568394002505e-15,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,66.0,11.0,33.0,5.5,44.528282479730564
four_rooms,0.0,junction,directional,0.97,51,44,4,176,0.8627450980392157,164,164,164,0.9431818181818182,2.0,2.204545454545453,387.99999999999966,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,450.52727272727236
four_rooms,0.0,junction,targeted,0.97,51,44,44,1892,0.8627450980392157,1936,1892,1892,1.0338266384778012,2.0,0.010253699788583509,19.4,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1766.0,279.0,40.13636363636363,6.340909090909091,737.7
four_rooms,0.0,junction,local_targeted,0.97,51,44,44,1420,0.8627450980392157,1936,1420,1420,1.0450704225352112,2.0,0.013661971830985914,19.4,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1766.0,279.0,40.13636363636363,6.340909090909091,703.3727272727273
four_rooms,0.0,decision,directional,0.97,51,50,4,200,0.9803921568627451,200,200,200,1.01,2.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,70.0
four_rooms,0.0,decision,targeted,0.97,51,50,50,2450,0.9803921568627451,2500,2450,2450,1.0204081632653061,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1964.0,312.0,39.28,6.24,820.3
four_rooms,0.0,decision,local_targeted,0.97,51,50,50,1844,0.9803921568627451,2500,1844,1844,1.027114967462039,2.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1964.0,312.0,39.28,6.24,777.88
four_rooms,0.0,spectral_25,directional,0.97,51,15,4,60,0.29411764705882354,51,51,51,1.3833333333333335,4.000000000000005,5.337703066666663,320.26218399999976,1.5726702649650343e-15,8.881784197001252e-16,26.124778644694075,23.464577056360508,-33.3333333301042,-11.57212408464641,21.761209245457792,N,0.0,4.0,0.0,1.0,347.66218399999974
four_rooms,0.0,spectral_25,targeted,0.97,51,15,15,210,0.29411764705882354,225,210,210,2.4904761904761905,8.0,1.3193444161424575,277.06232738991605,0.0,8.881784197001252e-16,1.7763568394002505e-15,1.3322676295501878e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,570.0,92.0,38.0,6.133333333333334,491.56232738991605
four_rooms,0.0,spectral_25,local_targeted,0.97,51,15,15,184,0.29411764705882354,225,184,184,2.097826086956522,8.0,1.0219018241942341,188.0299356517391,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,570.0,92.0,38.0,6.133333333333334,399.49660231840573
four_rooms,0.05,all,directional,0.97,51,51,4,204,1.0,780,780,780,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,E,0.0,4.0,0.0,1.0,82.49411764705883
four_rooms,0.05,all,targeted,0.97,51,51,51,2550,1.0,9801,9750,9750,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,to_001,1890.5333333333338,319.0,37.069281045751644,6.254901960784314,958.2831372549022
four_rooms,0.05,all,local_targeted,0.97,51,51,51,1944,1.0,9801,7446,7446,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,to_001,1890.5333333333338,319.0,37.069281045751644,6.254901960784314,882.8066666666668
four_rooms,0.05,endpoints,directional,0.97,51,2,4,8,0.0392156862745098,12,12,10,463662.9864262514,1854060.4353266088,15.49240712588864,123.93925700710912,22.406242333705148,1.4210854715202004e-14,20.91085285778599,20.91085285778599,-33.09676460996152,-12.185911752175528,20.91085285778599,E,0.0,4.0,0.0,1.0,140.57988124047964
four_rooms,0.05,endpoints,targeted,0.97,51,2,2,2,0.0392156862745098,6,4,4,14.395578218638025,14.39557821863803,9.904105136015696,19.808210272031392,11.399708433450607,7.105427357601002e-15,0.1152343180948705,0.1152343180948705,-12.301146070270399,-12.185911752175528,0.1152343180948705,to_001,62.0,11.0,31.0,5.5,44.94818111537646
four_rooms,0.05,junction,directional,0.97,51,44,4,176,0.8627450980392157,704,704,704,3.0023510971786838,29.500000000000014,1.0279223494512488,180.9143335034198,0.0,3.552713678800501e-15,0.013347040926645626,0.006364501046886498,-12.196207273372913,-12.185911752175528,0.010295521197384971,E,0.0,4.0,0.0,1.0,255.71433350341982
