map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,struct_mdl_node_cost_weight,struct_mdl_edge_cost_weight,struct_mdl_exposure_bit_weight,struct_mdl_min_gain,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,struct_mdl_split_candidate_state,struct_mdl_split_candidate_coord,struct_mdl_split_gain,struct_mdl_split_benefit,struct_mdl_split_cost,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,4,4,12,12,0,0.0,0.0,17.329886799504273,17.329886799504273,4.309620929135694,5,10.281768316229625,1.3454815587499362,10.281768316229625,1.3454815587499362,34.07225789185979,5.957281485943489,9.0,1.0,358.76823424783515,39.86313713864835,55.0,11.0,0.0,0.8852928099999999,22.19907793749682,1.0,9,True,-22.199077937496828,-22.199077937496824,3.552713678800501e-15,7.105427357601002e-15,fb_000_to_001,792.0,384.0,66.0,32.0,264.0,128.0,66.0,32.0,,,0.0,57,"(5, 19)",3.7985690718065177,11,"(1, 13)",21.660149997115376,36.0,14.339850002884624,63,"(6, 19)",2.91,164.0116551157339,2,11,21.660149997115376,residual_mdl,"(1, 13)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,5,5,20,20,0,0.0,0.0,22.10769782570185,22.10769782570185,4.3096209291356935,6,12.437927065897442,1.3454815587499362,12.437927065897442,1.3454815587499362,44.15145714599547,5.957281485943489,11.0,1.0,438.4945085251319,39.86313713864835,61.0,11.0,0.0,0.8852928099999999,22.19907793749682,1.0,11,True,-22.199077937496824,-22.199077937496824,0.0,7.105427357601002e-15,fb_000_to_004,1312.0,636.0,65.6,31.8,328.0,159.0,65.6,31.8,,,0.0,57,"(5, 19)",4.822548418862006,12,"(1, 15)",23.660149997115376,40.0,16.339850002884624,63,"(6, 19)",3.88,209.6456248915993,3,12,23.660149997115376,residual_mdl,"(1, 15)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,6,6,30,30,0,0.0,0.0,26.97939058233167,26.97939058233167,4.309620929135694,7,20.204681759475502,1.3454815587499362,20.204681759475502,1.3454815587499362,91.87530663412387,5.957281485943489,19.0,1.0,757.3996056343185,39.86313713864835,65.0,11.0,0.0,0.8852928099999999,22.19907793749682,1.0,19,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,1970.0,955.0,65.66666666666667,31.833333333333332,394.0,191.0,65.66666666666667,31.833333333333332,,,0.0,57,"(5, 19)",5.66471240846464,16,"(1, 19)",11.660149997115376,30.0,18.339850002884624,63,"(6, 19)",4.85,263.9840723418072,4,16,11.660149997115376,residual_mdl,"(1, 19)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,7,7,42,42,0,0.0,0.0,31.725031353912314,31.725031353912314,4.3096209291356935,8,23.061263587236276,1.3454815587499362,23.061263587236276,1.3454815587499362,113.07594349684102,5.957281485943489,22.0,1.0,876.9890170502634,39.86313713864835,67.0,11.0,0.0,0.8852928099999999,22.19907793749682,1.0,22,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,2760.0,1338.0,65.71428571428571,31.857142857142858,460.0,223.0,65.71428571428571,31.857142857142858,,,0.0,57,"(5, 19)",6.459303492420288,35,"(3, 17)",7.660149997115376,28.0,20.339850002884624,63,"(6, 19)",5.819999999999999,315.3862949411486,5,35,7.660149997115376,residual_mdl,"(3, 17)",continue
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,8,8,56,56,0,0.0,0.0,36.52716711827518,36.52716711827518,4.309620929135694,9,33.477701159885946,1.3454815587499362,33.477701159885946,1.3454815587499362,212.4107919020817,8.445770115227196,33.0,1.0,1315.4835255753958,39.86313713864835,67.0,11.0,0.0,0.8852928099999999,22.19907793749682,1.0,33,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,3682.0,1785.0,65.75,31.875,526.0,255.0,65.75,31.875,,,0.0,37,"(3, 19)",7.823771679999999,,,-6.339850002884624,16.0,22.339850002884624,63,"(6, 19)",6.789999999999999,376.50486827816115,6,,0.0,none,,hybrid_threshold
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,2,2,2,2,0,0.0,0.0,6.304422223627169,6.304422223627169,3.334608285737951,2,2.6656279434214607,1.3328148050908424,2.6656279434214607,1.3328148050908424,3.664160671607529,1.8320829680789457,1.9999999999999996,0.9999999999999998,79.7262742772967,39.86313713864835,24.034811509162537,12.966122478284957,2.220446049250313e-16,0.3431101040032383,21.896413204569914,0.9999999999999998,2,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_001,125.4666666666667,65.0,62.73333333333335,32.5,125.4666666666667,65.0,62.73333333333335,32.5,,,0.0,57,"(5, 19)",1.309842188250752,57,"(5, 19)",2.5936257266162865,12.93347572950091,10.339850002884624,63,"(6, 19)",1.017021309114977,71.66338350038197,0,57,2.5936257266162865,residual_mdl,"(5, 19)",continue
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,3,3,6,6,0,0.0,0.0,7.821078780419381,7.821078780419381,3.3228233321798095,6,4.226174693174264,1.3325849410068216,4.226174693174264,1.3325849410068216,11.37239724534993,2.1755860363022212,3.017236260412788,0.9999999999999998,91.41802571859041,39.86313713864835,35.238557187634875,12.000297359950695,3.3306690738754696e-16,0.9409130334167652,21.884920000368876,0.9999999999999998,3,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_002,374.5333333333334,194.0,62.42222222222224,32.333333333333336,187.2666666666667,97.0,62.42222222222224,32.333333333333336,,,0.0,55,"(5, 17)",1.312310559548226,55,"(5, 17)",11.84354145032859,24.183391453213215,12.339850002884624,63,"(6, 19)",3.03376485147722,109.30058680692699,1,55,11.84354145032859,residual_mdl,"(5, 17)",continue
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,4,4,12,12,0,0.0,0.0,11.3902015893601,11.3902015893601,3.3170269147453415,11,6.044009173998327,1.332341378513948,6.044009173998327,1.332341378513948,24.1229753657893,2.1755860363022212,4.017544047424167,0.9999999999999998,131.28160696834098,39.86313713864835,44.222244482567525,11.03420627225689,3.3306690738754696e-16,0.9409300723389595,21.872741875725197,0.9999999999999998,4,True,-23.00654011886263,-23.006540118833655,2.8975932764296886e-11,2.8975932764296886e-11,fb_000_to_003,752.8000000000001,390.0,62.73333333333334,32.5,250.9333333333334,130.0,62.73333333333335,32.5,,,0.0,4,"(1, 5)",2.400487291471613,35,"(3, 17)",18.844176952466476,33.1840269553511,14.339850002884624,63,"(6, 19)",4.050218258207794,152.2208774300251,2,35,18.844176952466476,residual_mdl,"(3, 17)",continue
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,5,5,20,20,0,0.0,0.0,13.41171433455739,13.41171433455739,3.3170269147453406,14,8.088124850442918,1.3320814162718506,8.088124850442918,1.3320814162718506,41.325800394388374,2.1755860363022212,5.017851834435546,0.9999999999999998,171.14518821809207,39.86313713864835,51.20593205349903,11.016964892946545,3.3306690738754696e-16,0.9409300723389595,21.85974376362033,0.9999999999999998,5,True,-23.006540118862866,-23.006540118833655,2.921041186709772e-11,2.921041186709772e-11,fb_000_to_004,1250.9333333333338,648.0,62.546666666666695,32.4,312.7333333333334,162.0,62.54666666666668,32.4,,,0.0,4,"(1, 5)",3.556290213845127,37,"(3, 19)",23.844813847908462,40.184663850793086,16.339850002884624,63,"(6, 19)",5.0669462886530745,195.04650585166698,3,37,23.844813847908462,residual_mdl,"(3, 19)",continue
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,0.5,raw,True,1.0,1.0,1.0,0.0,0.05,0.0,23.006540118833655,1.0,81,6,6,30,30,0,0.0,0.0,15.433746191860793,15.433746191860793,3.3170269147453415,17,10.355401579142336,1.331803950039185,10.355401579142336,1.331803950039185,63.00786255212794,2.1755860363022212,6.018159621446925,0.9999999999999998,211.00876946784112,39.86313713864835,56.18961924576301,10.999723513636201,3.3306690738754696e-16,0.9409300723389595,21.845870451987047,0.9999999999999998,6,True,-23.006540118862855,-23.006540118833655,2.919975372606132e-11,2.919975372606132e-11,fb_000_to_005,1882.0000000000007,975.0,62.733333333333356,32.5,376.4000000000001,195.0,62.73333333333335,32.5,,,0.0,4,"(1, 5)",4.67847688060128,16,"(1, 19)",26.845450743211757,45.18530074609638,18.339850002884624,63,"(6, 19)",6.083674319098355,241.06914777100314,4,16,26.845450743211757,residual_mdl,"(1, 19)",continue
