option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,struct_hidden_prob,struct_hit_prob,struct_nohit_prob,struct_reference_prob,struct_hidden_norm,struct_hidden_bits,struct_hidden_distinct,struct_hidden_distinct_bits,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,0.953062489907928,39.86313713864835,6.00452424894641,0.6528362774606075,1.0,6.657360526407017,13.559226658679211,3.3751066619041907,0.5188783152535545,1.0,0.5333333333333333,11.57212408464641,0.6528362774606075,11.572124084646408,14.0,6.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,-5.567599835699999,four_rooms,0.0,0
fb_001_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.0,1.0,0.9409,24,"(3, 5)",1.0,0.0,,,0.0,1.0456710937082025,39.86313713864835,5.238554685410129,0.783743359437696,1.0,6.022298044847825,14.308130091340779,5.7174232865205745,0.7267135943371268,1.0,0.6666666666666666,11.57212408464641,0.783743359437696,7.208554685410126,8.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.9409,24,"(3, 5)",1.0,-1.97,four_rooms,0.0,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,1
fb_000_to_001,0,"(1, 1)",26,"(3, 7)",8.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,0.8657911019232025,39.86313713864835,1.6409548497101296,0.783743359437696,1.0,2.4246982091478255,10.71053025564078,4.279848918318398,0.2276399252448438,1.0,0.2222222222222222,11.57212408464641,0.783743359437696,7.208554685410126,8.0,6.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,-5.567599835699999,four_rooms,0.0,1
fb_002_to_001,50,"(5, 11)",26,"(3, 7)",6.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,1
fb_000_to_002,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,0.8657911019232025,39.86313713864835,1.6409548497101296,0.783743359437696,1.0,2.4246982091478255,10.71053025564078,4.279848918318398,0.2276399252448438,1.0,0.2222222222222222,11.57212408464641,0.783743359437696,7.208554685410126,8.0,6.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,-5.567599835699999,four_rooms,0.0,1
fb_001_to_002,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.1247528250588064,48,"(5, 9)",0.5623764125294032,1.012851996714,39.86313713864835,3.5975998356999996,0.8329720049289999,1.0,4.430571840629,13.236855235775089,6.8482951487782024,0.6461670992645405,1.0,0.5714285714285714,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.9409,46,"(5, 7)",1.0,-5.567599835699999,four_rooms,0.0,1
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,1.012851996714,39.86313713864835,3.5975998356999996,0.8329720049289999,1.0,4.430571840629,13.236855235775089,6.8482951487782024,0.6461670992645405,1.0,0.5714285714285714,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,2.0,1.0,1.0,0.0,0.0,1.0,39.86313713864835,0.0,0.0,1.0,0.9409,4,"(1, 5)",1.0,-5.567599835699999,four_rooms,0.0,2
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.9409,1.9699999999999995,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4,"(1, 5)",0.0,-1.97,four_rooms,0.0,2
fb_003_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,,,0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,2
