map,method,n_eval_rows,selected_boundary_size,selection_time_sec,mean_hidden_bits,mean_heldout_goal_hidden_bits,mean_probe_hidden_bits,mean_start_gap,max_start_gap,mean_value_gap_max
four_rooms_9,betweenness,8,4,0.25919113802956417,23.390907522371265,22.330880427963407,28.99576871072783,0.06600832948959656,0.08842875930814209,0.06600832948959656
four_rooms_9,random,8,4,0.25842771196039394,22.9030113716185,21.685541488630903,28.23103397922047,0.0660083294895939,0.08842875930814209,0.10738543298458847
four_rooms_9,raw_hidden,8,4,0.25866254401626065,47.37379642208535,38.30097498131736,63.130887743524035,0.06592187779430247,0.08825585592906293,0.06832066798317316
four_rooms_9,rd_fd,8,4,0.21531235898146406,47.37379642208535,38.30097498131736,63.130887743524035,0.06592187779430247,0.08825585592906293,0.06832066798317316
four_rooms_9,spectral,8,4,0.25724124803673476,23.413269448325078,22.32638492008916,29.006991297557487,0.06600832948927415,0.08842875930792182,0.06600832948927415
four_rooms_9,value_gradient,8,4,0.2566448759753257,31.070004820318854,21.99727561691777,39.94022832065945,0.06592187775013336,0.08825585582921747,0.06832066353732813
maze_9,betweenness,8,4,0.09322609700029716,109.8649604453507,64.27730816429248,146.48661365536952,0.0,0.0,0.0
maze_9,random,8,4,0.09240670601138845,50.09956980019361,3.041256723237823,66.79942628753415,0.0,0.0,0.0
maze_9,raw_hidden,8,4,0.10553898598300293,410365844.55709124,410365844.55709124,547154458.9285668,22.919974947226407,23.293427227841093,27.85308454635672
maze_9,rd_fd,8,4,0.09176254598423839,410365844.55709124,410365844.55709124,547154458.9285668,22.919974947226407,23.293427227841093,27.85308454635672
maze_9,spectral,8,4,0.09304707398405299,38.91312079739724,0.0999352657366371,51.88416092809302,0.0,0.0,0.0
maze_9,value_gradient,8,4,0.09349528199527413,118.11008788746051,80.76756311693144,157.48011695792763,0.0,0.0,0.0
open_room_7,betweenness,8,4,0.16243761201621965,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
open_room_7,random,8,4,0.16277472797082737,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
open_room_7,raw_hidden,8,4,0.16714465100085363,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
open_room_7,rd_fd,8,4,0.13785411999560893,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
open_room_7,spectral,8,4,0.1612451989785768,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
open_room_7,value_gradient,8,4,0.15968244802206755,28.400953822242258,19.75163105330913,37.86793842965705,0.09347459229535549,0.1372168691470801,0.10661924327774797
