method,top_k,n_rows,feasible_rate,median_n_boundary,median_selection_time_sec,median_kernel_time_sec,median_total_speedup,best_total_speedup,median_break_even_tasks,max_group_total_violation,max_start_gap,mean_surrogate_topk_recall,total_exact_refine_calls
endpoints,,18,0.0,2.0,4.726702732499689,0.0663076084892964,0.03786764267667364,0.04258944231526175,27.0,174.8841889328305,0.1888492347350521,,18
exact_group_rd,,18,0.1111111111111111,3.0,17.634944794990588,0.12408942449837923,0.012167102416688003,0.020240602915535852,83.0,109386396.8625908,0.18884929565115982,,18
heuristic_topk_exact_refine,4,18,0.05555555555555555,6.0,122.41769575944636,0.37726553248649,0.0015936528796268962,0.0048396303307501175,651.5,2287.533109066034,0.1888492956511456,,356
incremental_group_rd,,18,0.6111111111111112,3.0,11.092071902996395,0.13045104099728633,0.016236533273236826,0.023671421748608226,62.5,308.6713739613641,0.18884922922479674,,18
surrogate_topk_certified_refine,4,18,0.6666666666666666,3.0,47.75124081748072,0.12886837949918117,0.004265449171302246,0.006585422393760086,236.0,126.13445898811759,0.1888492482825086,,178
surrogate_topk_exact_refine,4,18,0.6666666666666666,3.0,48.48072436252551,0.2112233895168174,0.00422251049241972,0.006598990944154557,239.0,126.13445898811759,0.18884929565104613,,178
