map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
open_room,12,open_room_12,0.0,endpoints,,none,none,adaptive,144,23,2,72.0,False,1,116.58945928855368,58.29472964427684,2.818749107012991,0.0,2.818749107012991,0.0,0.0,0.0,0.0,0.0,1,,,,0.03813594099483453,0.00016818600124679506,2.8568850480078254,2.857053234009072,0.08534448099089786,507.44104954171496,0.029871505359086656,34,3.552713678800501e-15,3.552713678800501e-15,21,0.0,fixed_endpoints,"[0, 143]"
open_room,12,open_room_12,0.0,exact_group_rd,,operator,none,exact,144,23,2,72.0,False,1,116.58945928855368,58.29472964427684,5.346889888984151,2.545228667964693,2.8010558339883573,0.0,0.8205821119772736,0.7756507640297059,0.0,0.0008167359919752926,1,,,,0.04267978802090511,0.0002659150050021708,5.389569677005056,5.3898355920100585,0.08525277400622144,320.6015922475886,0.01581732365502965,64,7.105427357601002e-15,7.105427357601002e-15,0,0.0,no_positive_violation_reduction,"[0, 143]"
open_room,12,open_room_12,0.0,incremental_group_rd,,insertion_score,none,adaptive,144,23,3,48.0,True,3,0.0,0.0,5.692044520954369,2.557864475034876,3.1327177999773994,0.0,0.03793719509849325,0.019096815143711865,0.11292949400376529,0.0016531699802726507,1,,,,0.050693606986897066,0.000729672989109531,5.742738127941266,5.743467800930375,0.08495575899723917,116.42990800703257,0.014791718512546953,69,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_exact_refine,4,insertion_score,exact,exact,144,23,3,48.0,True,3,0.0,0.0,20.76361430902034,1.1868510149943177,19.576763294026023,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.07475890498608351,0.0008212660031858832,20.838373214006424,20.83919448000961,0.08844666101504117,107.69550994676007,0.00424424567369364,238,3.552713678800501e-15,3.552713678800501e-15,0,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,surrogate_topk_certified_refine,4,insertion_score,certified_adaptive_green,adaptive,144,23,3,48.0,True,3,0.0,0.0,20.615552192000905,1.1751394480234012,19.440412743977504,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.04950203699991107,0.0006135499861557037,20.665054229000816,20.665667778986972,0.08910403898335062,145.227024682449,0.004311694155557478,234,3.552713678800501e-15,3.552713678800501e-15,21,0.0,feasible,"[0, 72, 143]"
open_room,12,open_room_12,0.0,heuristic_topk_exact_refine,4,heuristic_saliency,exact,exact,144,23,6,24.0,False,1,77.72630619236767,58.29472964427684,80.02851063507842,0.4540900440188125,79.5744205910596,0.0,0.0,0.0,0.0,0.0,21,,0,0,0.19280253199394792,0.0031872920226305723,80.22131316707237,80.224500459095,0.08788762299809605,27.574386775379192,0.001095520975451986,948,3.552713678800501e-15,3.552713678800501e-15,0,0.0,budget_not_met,"[0, 57, 70, 125, 138, 143]"
open_room,12,open_room_12,0.05,endpoints,,none,none,adaptive,144,23,2,72.0,False,0,174.8841889328305,58.29472964427684,4.861086769000394,0.0,4.861086769000394,0.0,0.0,0.0,0.0,0.0,1,,,,0.04384877800475806,0.0001667589822318405,4.904935547005152,4.905102305987384,0.18453335601952858,1106.5872047778323,0.03762069463755711,27,0.07851000260175311,0.07851000260175311,41,3.737375193238174e-07,fixed_endpoints,"[0, 143]"
open_room,12,open_room_12,0.05,exact_group_rd,,operator,none,exact,144,23,4,36.0,False,1,38.86315309618456,19.43157654809228,19.68304256699048,14.097905859933235,5.582548753998708,0.0,4.9601975069672335,4.1483917662117165,0.0,0.002606456953799352,1,,,,0.10541405898402445,0.005407785996794701,19.788456625974504,19.7938644119713,0.18294871799298562,33.83061350826805,0.00924269835264399,112,0.07851002033423526,0.1457738909746915,0,0.0,no_positive_violation_reduction,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,incremental_group_rd,,insertion_score,none,adaptive,144,23,4,36.0,False,1,38.86315309618456,19.43157654809228,11.451759060990298,5.803171869018115,5.646054968005046,0.0,0.0944416749116499,0.056870053958846256,0.11266879699542187,0.00287281401688233,1,,,,0.08773715299321339,0.005163936992175877,11.539496213983512,11.544660150975687,0.18520878799608909,35.86581096491061,0.016042809885610736,65,0.07850998040043677,0.14577386826012528,40,8.561614767300956e-07,no_positive_violation_reduction,"[0, 1, 130, 143]"
open_room,12,open_room_12,0.05,surrogate_topk_exact_refine,4,insertion_score,exact,exact,144,23,4,36.0,True,3,0.0,0.0,64.55583203505375,3.9166010840272065,60.63923095102655,0.0,0.0,0.0,0.0,0.0,11,,0,0,0.1243733819865156,0.006912312004715204,64.68020541704027,64.68711772904499,0.19609182002022862,28.368485086678007,0.0030313890447491985,342,0.07851002033378052,0.14577389097059879,0,0.0,feasible,"[0, 1, 13, 143]"
