map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed,max_splits,failed_n_boundary,added_vertices_over_failed
random_maze,15,random_maze_15_seed0,0.05,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,20.870234153000638,insertion_score,0.09270709799602628,20.962941250996664,0.00033867405727505684,20.96327992505394,0.21224993304349482,33756,18,626.7085667890834,0.010124843717314846,99,1875.3333333333333,6.455956480522218e-08,6.455956480522218e-08,adaptive,77,7.358378229900759e-07,budget_not_met,0,66,0.0,66,66,18.453724051476456,0.4808074445463717,0.5181968412362039,0.3198833249043673,0.0,1.0787856518290937,0.009865396888926625,0.00011815107427537441,20.861380861955695,20.531513989088126,"[0, 80, 96]",,0,5,3,0
random_maze,15,random_maze_15_seed0,0.05,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,33.50005327700637,insertion_score,0.11058355704881251,33.610636834055185,0.00041932507883757353,33.61105615913402,0.22044425003696233,33756,18,525.7120576905726,0.006558682624944982,153,1875.3333333333333,6.455956480522218e-08,6.455956480522218e-08,adaptive,77,7.358378229900759e-07,budget_not_met,0,102,0.0,102,102,28.27871770085767,1.3695870062801987,1.4083244286011904,0.5951099867234007,0.0,1.8199835703708231,0.014408841961994767,0.00020427594427019358,33.48633581073955,32.87661270610988,"[0, 80, 96]",,0,8,3,0
random_maze,15,random_maze_15_seed0,0.05,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,52.42658287892118,insertion_score,0.10940463305450976,52.53598751197569,0.0003934799460694194,52.53638099192176,0.21800803404767066,33756,18,554.0511942868081,0.004149658387797831,242,1875.3333333333333,6.455956480522218e-08,6.455956480522218e-08,adaptive,77,7.358378229900759e-07,budget_not_met,0,150,0.0,150,150,40.90219928091392,3.73779602360446,3.515351513400674,1.246890009730123,0.0,2.984826809493825,0.018978510634042323,0.00031910883262753487,52.40636125660967,51.14017362741288,"[0, 80, 96]",,0,12,3,0
random_maze,15,random_maze_15_seed0,0.05,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,76.82002362899948,insertion_score,0.0910580720519647,76.91108170105144,0.00033284700475633144,76.9114145480562,0.20302528399042785,33756,18,609.9657833455865,0.002639728903485093,380,1875.3333333333333,6.455956480522218e-08,6.455956480522218e-08,adaptive,77,7.358378229900759e-07,budget_not_met,0,198,0.0,198,198,55.39150657993741,7.860429000575095,6.801140413270332,2.3105226538609713,0.0,4.405355236143805,0.025120964040979743,0.0004983650287613273,76.79457321285736,74.45843122992665,"[0, 80, 96]",,0,16,3,0
random_maze,15,random_maze_15_seed0,0.1,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,24.34538029995747,insertion_score,0.1102498898981139,24.455630189855583,0.00039575400296598673,24.45602594385855,0.25576427206397057,39964,18,646.2708403380378,0.01045812891477565,96,2220.222222222222,7.186500639022597e-08,7.186500639022597e-08,adaptive,90,6.949296131211002e-07,budget_not_met,0,66,0.0,66,66,21.82293768064119,0.5025576138868928,0.553194772801362,0.319130054092966,0.0,1.127693006885238,0.010649681091308594,0.00013366120401769876,24.336296470602974,24.006383074214682,"[0, 80, 96]",,0,5,3,0
random_maze,15,random_maze_15_seed0,0.1,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,37.34836123907007,insertion_score,0.10352109605446458,37.45188233512454,0.0003368690377101302,37.45221920416225,0.2453138679265976,39964,18,728.2173202800722,0.006550048919379781,153,2220.222222222222,7.186500639022597e-08,7.186500639022597e-08,adaptive,90,6.949296131211002e-07,budget_not_met,0,102,0.0,102,102,32.246358098462224,1.345012637670152,1.3510198156582192,0.5839502571616322,0.0,1.7950134096900001,0.013796177110634744,0.0002167751081287861,37.33536717086099,36.737403961480595,"[0, 80, 96]",,0,8,3,0
random_maze,15,random_maze_15_seed0,0.1,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,56.65973327297252,insertion_score,0.10214321594685316,56.76187648891937,0.00032511097379028797,56.76220159989316,0.23843035101890564,39964,18,733.3814304671996,0.004200512740847501,239,2220.222222222222,7.186500639022597e-08,7.186500639022597e-08,adaptive,90,6.949296131211002e-07,budget_not_met,0,150,0.0,150,150,45.651884159771726,3.6001921746646985,3.2560076483059675,1.1980515839532018,0.0,2.92010842775926,0.01681244559586048,0.0002937001409009099,56.643350140191615,55.42819241050165,"[0, 80, 96]",,0,12,3,0
random_maze,15,random_maze_15_seed0,0.1,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,80.06885261891875,insertion_score,0.10242084506899118,80.17127346398775,0.0003311849432066083,80.17160464893095,0.238156077102758,39964,18,719.1029724868421,0.0029705788994200165,338,2220.222222222222,7.186500639022597e-08,7.186500639022597e-08,adaptive,90,6.949296131211002e-07,budget_not_met,0,198,0.0,198,198,59.928273201105185,7.518188443267718,6.102941815392114,2.1773723658407107,0.0,4.296920305001549,0.02074929466471076,0.0004122561076655984,80.04485768137965,77.84632376476657,"[0, 80, 96]",,0,16,3,0
random_maze,15,random_maze_15_seed4,0.05,group_constrained_incremental,0.25,97,37,2,48.5,2,False,0,174.8841889328305,58.29472964427684,False,174.8841889328305,58.29472964427684,77.72630619236912,77.72630619236912,17.37023754697293,insertion_score,0.06264650402590632,17.432884050998837,0.0001456569880247116,17.43302970798686,0.17122815002221614,28324,4,1175.557399231448,0.009822053474948692,102,7081.0,4.405383435823751e-08,4.405383435823751e-08,adaptive,66,9.266478279131432e-07,budget_not_met,0,66,0.0,66,66,14.99061825138051,0.43670246994588524,0.600145114120096,0.2738257310120389,0.0,1.052147839567624,0.009910102933645248,0.00012671202421188354,17.363476220984012,17.079613675014116,"[0, 96]",,4,5,2,0
random_maze,15,random_maze_15_seed4,0.05,group_constrained_incremental,0.25,97,37,2,48.5,2,False,0,174.8841889328305,58.29472964427684,False,174.8841889328305,58.29472964427684,77.72630619236912,77.72630619236912,28.570048104040325,insertion_score,0.06243153696414083,28.632479641004466,0.00013905810192227364,28.632618699106388,0.17270666104741395,28324,4,1241.9748195897864,0.006031815072953982,166,7081.0,4.405383435823751e-08,4.405383435823751e-08,adaptive,66,9.266478279131432e-07,budget_not_met,0,102,0.0,102,102,23.264379475847818,1.2646253809798509,1.6759963755030185,0.5488242431310937,0.0,1.7892903379397467,0.015052448026835918,0.00018973881378769875,28.55835800024215,27.994291570270434,"[0, 96]",,4,8,2,0
