map_family,map_size,map,slip,n_states,n_basis,n_boundary,max_candidates,mode,n_candidate_scores,selected_state,wall_time_sec,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,full_recompute_time_sec,candidate_score_time_sec,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,speedup_vs_full_recompute,probe_uncached_time_sec,profiled_selection_time_sec
open_room,7,open_room_7,0.0,49,14,2,8,full_recompute,48,3,1.7450201279716566,0.11698059807531536,0.11631900502834469,0.09902004874311388,1.4119251272059046,0.0003466720227152109,0,6,0.0,1.0,,
open_room,7,open_room_7,0.0,49,14,2,8,current_frozen_operator,10,43,0.32766010897466913,0.11644664796767756,0.11383803799981251,0.0966291130753234,,0.0003236170159652829,0,6,0.0,5.325702092428228,0.3272293258924037,
open_room,7,open_room_7,0.0,49,14,2,8,cached_incremental_first,10,43,0.3265390220331028,0.11596184800146148,0.11343750997912139,0.0961139869177714,,0.00034147099358960986,0,6,0.0,5.343986507666933,0.32580706797307357,0.32580706797307357
open_room,7,open_room_7,0.0,49,14,2,8,cached_incremental_hit,10,43,0.0003484920016489923,0.0,0.0,0.0,,0.00024298898642882705,6,0,1.0,5007.346279726884,0.0,0.32580706797307357
open_room,7,open_room_7,0.05,49,14,2,8,full_recompute,48,3,2.86237547401106,0.2517422249657102,0.22982320695882663,0.2167410858673975,2.163265523093287,0.0003683620016090572,0,6,0.0,1.0,,
open_room,7,open_room_7,0.05,49,14,2,8,current_frozen_operator,11,43,0.6903195210034028,0.24984395591309294,0.22845108702313155,0.21127404499566182,,0.00035081704845651984,0,6,0.0,4.146450139278258,0.6898620538995601,
open_room,7,open_room_7,0.05,49,14,2,8,cached_incremental_first,11,43,0.6919568629818968,0.25299500301480293,0.22768728504888713,0.21020660607609898,,0.00039099896093830466,0,6,0.0,4.136638607320159,0.6911936990218237,0.6911936990218237
open_room,7,open_room_7,0.05,49,14,2,8,cached_incremental_hit,11,43,0.00038069498259574175,0.0,0.0,0.0,,0.00026939500821754336,6,0,1.0,7518.8158627522635,0.0,0.6911936990218237
four_rooms,7,four_rooms_7,0.0,40,26,2,8,full_recompute,48,2,1.5085902560385875,0.09523132408503443,0.09604364901315421,0.08173070114571601,1.234734000870958,0.0003979089669883251,0,6,0.0,1.0,,
four_rooms,7,four_rooms_7,0.0,40,26,2,8,current_frozen_operator,10,2,0.28064585803076625,0.09831185900839046,0.10096883605001494,0.08052582410164177,,0.0003938539884984493,0,6,0.0,5.375423199273463,0.28013439290225506,
four_rooms,7,four_rooms_7,0.0,40,26,2,8,cached_incremental_first,10,2,0.27156031102640554,0.09647201898042113,0.0959722920670174,0.07810023805359378,,0.00031216704519465566,0,6,0.0,5.5552678163338,0.27085686998907477,0.27085686998907477
four_rooms,7,four_rooms_7,0.0,40,26,2,8,cached_incremental_hit,10,2,0.00034770899219438434,0.0,0.0,0.0,,0.000237533007748425,6,0,1.0,4338.657584084625,0.0,0.27085686998907477
four_rooms,7,four_rooms_7,0.05,40,26,2,8,full_recompute,48,2,2.2958463419927284,0.20310990104917437,0.18776904506376013,0.17472819692920893,1.7291640900657512,0.0006300740060396492,0,6,0.0,1.0,,
four_rooms,7,four_rooms_7,0.05,40,26,2,8,current_frozen_operator,16,6,0.5642295950092375,0.2048637309926562,0.18729327397886664,0.17123453301610425,,0.00040756299858912826,0,6,0.0,4.068993123189756,0.5637110330280848,
four_rooms,7,four_rooms_7,0.05,40,26,2,8,cached_incremental_first,16,6,0.558899997966364,0.20079813798656687,0.1858557240338996,0.17114423803286627,,0.00043796899262815714,0,6,0.0,4.107794507687399,0.5580937670893036,0.5580937670893036
four_rooms,7,four_rooms_7,0.05,40,26,2,8,cached_incremental_hit,16,6,0.0004545670235529542,0.0,0.0,0.0,,0.0003349909675307572,6,0,1.0,5050.622291181834,0.0,0.5580937670893036
maze,9,maze_9,0.0,31,17,2,8,full_recompute,48,1,1.0727187630254775,0.06771753507200629,0.0702327978797257,0.05936351203126833,0.8746730649727397,0.0002771199797280133,0,6,0.0,1.0,,
maze,9,maze_9,0.0,31,17,2,8,current_frozen_operator,9,1,0.19127544801449403,0.06716547493124381,0.06878437800332904,0.05468362697865814,,0.00028369901701807976,0,6,0.0,5.608240755207597,0.1908987959031947,
maze,9,maze_9,0.0,31,17,2,8,cached_incremental_first,9,1,0.19144736300222576,0.067021866037976,0.0688808459090069,0.054692178091499954,,0.00028355600079521537,0,6,0.0,5.603204693986859,0.19084809307241812,0.19084809307241812
maze,9,maze_9,0.0,31,17,2,8,cached_incremental_hit,9,1,0.00032728700898587704,0.0,0.0,0.0,,0.00022213702322915196,6,0,1.0,3277.608745759191,0.0,0.19084809307241812
maze,9,maze_9,0.05,31,17,2,8,full_recompute,48,1,1.6379088719841093,0.14146517898188904,0.13364871800877154,0.12459825101541355,1.2374442310538143,0.00031191296875476837,0,6,0.0,1.0,,
maze,9,maze_9,0.05,31,17,2,8,current_frozen_operator,11,1,0.3951933869975619,0.14220116095384583,0.13277805998222902,0.11940257699461654,,0.0004021740169264376,0,6,0.0,4.144575607471423,0.39468563394621015,
maze,9,maze_9,0.05,31,17,2,8,cached_incremental_first,11,1,0.39694630296435207,0.14227965311147273,0.13379507308127359,0.11984882294200361,,0.0003469809889793396,0,6,0.0,4.126273150177702,0.396206425211858,0.396206425211858
maze,9,maze_9,0.05,31,17,2,8,cached_incremental_hit,11,1,0.00036043801810592413,0.0,0.0,0.0,,0.0002518490073271096,6,0,1.0,4544.217839702933,0.0,0.396206425211858
