mode,map,slip,fixed_method,adaptive_method,fixed_topk,adaptive_cap,fixed_top4_feasible,adaptive_topk_feasible,feasible_match,boundary_match,fixed_boundary,adaptive_boundary,adaptive_k_used_mean,adaptive_k_used_max,adaptive_cap_hits,adaptive_selected_ranks,adaptive_first_selected_rank,adaptive_decisions,fixed_selection_time_sec,adaptive_selection_time_sec,selection_speedup_fixed_over_adaptive,fixed_exact_refine_calls,adaptive_exact_refine_calls,fixed_group_total_violation,adaptive_group_total_violation,fixed_start_gap,adaptive_start_gap,lexicographic_regret_vs_fixed,group_total_violation_delta,start_gap_delta,fixed_stop_reason,adaptive_stop_reason
certified,open_room_16,0.0,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,True,True,True,True,"[0, 128, 255]","[0, 128, 255]",1.0,1.0,0,1,1,feasible,51.20565408299444,24.565538675000425,2.084450691696202,6,3,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,feasible,feasible
certified,open_room_16,0.05,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,False,False,True,True,"[0, 17, 255]","[0, 17, 255]",4.0,4.0,2,3,3,cap;cap,131.02696392696816,125.48597450501984,1.0441562449015103,10,10,19.43157654809228,19.43157654809228,0.08820730655633469,0.08820730655633469,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
certified,open_room_16,0.1,surrogate_topk_certified_refine,adaptive_topk_certified_refine,4,4,False,False,True,True,"[0, 17, 238, 255]","[0, 17, 238, 255]",4.0,4.0,3,3;1,3,cap;cap;cap,215.35017702914774,212.15259485616116,1.0150720860857465,15,15,116.58945928855368,116.58945928855368,0.1888492482825086,0.1888492482825086,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
exact,four_rooms_11,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 10, 103]","[0, 10, 103]",1.0,1.0,0,1,1,feasible,14.012602503993548,6.781602050934453,2.0662672918212177,6,3,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0,0.0,feasible,feasible
exact,four_rooms_11,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 10, 92, 102, 103]","[0, 10, 92, 102, 103]",3.0,4.0,2,1;1;1,1,cap;cap;feasible,65.25485116196796,47.41842648090096,1.3761496533051576,16,13,0.0,0.0,0.057678506741607904,0.057678506741607904,0.0,0.0,0.0,feasible,feasible
exact,four_rooms_11,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,False,False,True,True,"[0, 10, 11, 92, 102, 103]","[0, 10, 11, 92, 102, 103]",4.0,4.0,4,1;1;1;2,1,cap;cap;cap;cap,100.15154317219276,97.22568446508376,1.0300934750236677,21,21,128.17685001041116,128.17685001041116,0.12286824350195502,0.12286824350195502,0.0,0.0,0.0,budget_not_met,budget_not_met
exact,four_rooms_15,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 85, 199]","[0, 85, 199]",1.0,1.0,0,1,1,feasible,35.23491982999258,17.751360433991067,1.9849137738493123,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,feasible
exact,four_rooms_15,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,False,False,True,True,"[0, 1, 184, 199]","[0, 1, 184, 199]",4.0,4.0,3,1;1,1,cap;cap;cap,147.02150758501375,135.89950455992948,1.0818399085493329,15,15,116.58945928855368,116.58945928855368,0.08782281708738537,0.08782281708738537,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
exact,four_rooms_15,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 1, 15, 199]","[0, 1, 15, 199]",4.0,4.0,1,1;3,1,cap;clear_margin,119.7223712640116,112.08610012504505,1.0681286183607728,11,11,0.0,0.0,0.18197542421717117,0.18197542421717117,0.0,0.0,0.0,feasible,feasible
exact,maze_13,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,10.633649197989143,5.593233487044927,1.9011631147919805,6,3,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,feasible,feasible
