split,n_candidates,n_contexts,joint_pass_count,joint_pass_rate,oracle_union_pass_count,oracle_union_pass_rate,candidate_failure_auc,median_selection_time_sec
train,572,180,176,0.9777777777777777,176,0.9777777777777777,1.0,0.003298633499071002
validation,294,90,85,0.9444444444444444,86,0.9555555555555556,0.8424590163934427,0.004714212031103671
test,293,90,81,0.9,85,0.9444444444444444,0.7583850931677019,0.006351032468955964
