map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,full_pi_iterations,full_pi_time_sec,full_pi_improvement_backup_count,construction_time_sec,kernel_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95
corridor,64,corridor_64,endpoints,endpoints,64,2,2,32.0,760,2,380.0,95,0.10324469901388511,24320,5,0.006188250030390918,1280,8.483009878546e-06,0.00912871101172641,2,9.980099275708199e-05,4,0.009236995014362037,1034.5057314728842,11.177303750121794,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,betweenness_sqrt,betweenness_8,64,8,56,8.0,760,86,8.837209302325581,95,0.10071632399922237,24320,5,0.006188250030390918,1280,0.004110503010451794,0.08618235302856192,51,0.019433712004683912,2856,0.10972656804369763,5.182557196224155,0.9178845724867016,8.515406162464986,1.829647544582258e-11,1.829647544582258e-11,0.0,0.6410575623358856,0.0
corridor,64,corridor_64,graph_rd_joint,graph_rd_joint,64,2,2,32.0,760,2,380.0,95,0.10174805001588538,24320,5,0.006188250030390918,1280,0.22284532099729404,0.008825031982269138,2,8.872098987922072e-05,4,0.2317590739694424,1146.831771764482,0.4390250973703016,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,graph_rd_surrogate_joint,graph_rd_surrogate_joint,64,2,2,32.0,760,2,380.0,95,0.10103204601909965,24320,5,0.006188250030390918,1280,0.22507390001555905,0.0089017300051637,2,8.713203715160489e-05,4,0.23406276205787435,1159.528106100739,0.4316451071961565,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
corridor,64,corridor_64,turn_articulation,turn_articulation,64,2,2,32.0,760,2,380.0,95,0.10133878199849278,24320,5,0.006188250030390918,1280,0.0004947329871356487,0.008850655984133482,2,8.47639748826623e-05,4,0.009430152946151793,1195.540701563073,10.746250095534938,6080.0,3.375077994860476e-11,3.375077994860476e-11,0.0,0.16556844887303046,0.0
maze,13,maze_13,endpoints,endpoints,71,2,2,35.5,844,2,422.0,53,0.06521515501663089,15052,4,0.005507975991349667,1136,9.02003375813365e-06,0.01951527502387762,2,8.781201904639602e-05,4,0.01961210707668215,742.6677546518326,3.325249793999369,3763.0,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,1.2343397367723996,6.000000094762004
maze,13,maze_13,betweenness_sqrt,betweenness_9,71,9,72,7.888888888888889,844,121,6.975206611570248,53,0.0651262030005455,15052,4,0.005507975991349667,1136,0.005148291995283216,0.3800548129947856,19,0.009305583022069186,1368,0.394508688012138,6.998616083064515,0.16508179662330208,11.002923976608187,4.192202140984591e-13,1.1188383552962478e-11,5.000005494476323,1.4366432465996573,4.999999999999995
maze,13,maze_13,graph_rd_joint,graph_rd_joint,71,8,56,8.875,844,92,9.173913043478262,53,0.06593354401411489,15052,4,0.005507975991349667,1136,21.331331708992366,0.23812593898037449,18,0.006803555006626993,1008,21.576261202979367,9.691042984129975,0.0030558373109151288,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12,9.473284438199232e-08,0.917168448834321,9.47328354104429e-08
maze,13,maze_13,graph_rd_surrogate_joint,graph_rd_surrogate_joint,71,8,56,8.875,844,92,9.173913043478262,53,0.06899213796714321,15052,4,0.005507975991349667,1136,1.535503316030372,0.23909165401710197,18,0.006766369042452425,1008,1.7813613390899263,10.196330932333758,0.03873000746855232,14.932539682539682,1.1475265182525618e-12,1.1475265182525618e-12,9.473284438199232e-08,0.917168448834321,9.47328354104429e-08
maze,13,maze_13,turn_articulation,turn_articulation,71,18,306,3.9444444444444446,844,546,1.5457875457875458,53,0.06548787205247208,15052,4,0.005507975991349667,1136,0.0005332090076990426,0.42565324902534485,18,0.03564584901323542,5508,0.4618323070462793,1.8371808742206204,0.14180011024198372,2.7327523602033406,1.1475265182525618e-12,1.7035262089848402e-11,0.0,0.9171684262218325,0.0
