split,map_family,map_size,maze_seed,map,slip,n_states,log_n_states,sqrt_n_states,open_density,log_aspect_ratio,mean_degree,degree_std,dead_end_fraction,junction_fraction,turn_articulation_fraction,articulation_fraction,cycle_rank_per_state,endpoint_distance,endpoint_eccentricity,covering_radius,slip_endpoint_distance,discount_horizon,required_k,reference_frontier,reference_certified,reference_operator_time_sec,green_steps_total,occupancy_steps_total,reference_boundary,base_predicted_k,proposed_k,base_error,proposal_error,proposal_first_pass_certified,continuation_steps_if_needed,proposal_excess_steps,proposal_to_fixed_work_ratio
train,open_room,12,0,open_room_12,0.0,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,0.0,33.33333333333331,23,0.0,True,0.014678108040243387,42,23,"[0, 132, 143]",25,62,2,39,True,0,39,0.12109375
train,open_room,12,0,open_room_12,0.05,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,1.1,33.33333333333331,39,4.887333415799844e-07,True,0.016726496047340333,74,39,"[0, 132, 143]",37,73,-2,34,True,0,34,0.142578125
train,open_room,12,0,open_room_12,0.1,144,4.976733742420574,12.0,0.7346938775510204,0.0,3.6666666666666665,0.5270462766947299,0.0,0.9722222222222222,0.027777777777777776,0.0,0.8402777777777778,22.0,22.0,11.0,2.2,33.33333333333331,46,9.959839167555235e-07,True,0.01680563995614648,88,46,"[0, 132, 143]",49,85,3,39,True,0,39,0.166015625
train,open_room,16,0,open_room_16,0.0,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,0.0,33.33333333333331,31,0.0,True,0.02399866806808859,58,31,"[0, 240, 255]",33,69,2,38,True,0,38,0.134765625
train,open_room,16,0,open_room_16,0.05,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,1.5,33.33333333333331,48,7.237355067087823e-07,True,0.0269953899551183,94,48,"[0, 240, 255]",45,82,-3,34,True,0,34,0.16015625
train,open_room,16,0,open_room_16,0.1,256,5.54907608489522,16.0,0.7901234567901234,0.0,3.75,0.46770717334674267,0.0,0.984375,0.015625,0.0,0.87890625,30.0,30.0,15.0,3.0,33.33333333333331,57,8.819082191724754e-07,True,0.027261647977866232,110,57,"[0, 240, 255]",58,95,1,38,True,0,38,0.185546875
train,four_rooms,9,0,four_rooms_9,0.0,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,0.0,33.33333333333331,17,0.0,True,0.007401050068438053,30,17,"[0, 25, 64, 67]",18,54,1,37,True,0,37,0.10546875
train,four_rooms,9,0,four_rooms_9,0.05,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,0.8,33.33333333333331,32,5.269616426472879e-07,True,0.008583615999668837,60,32,"[0, 25, 38, 64, 67]",29,65,-3,33,True,0,33,0.126953125
train,four_rooms,9,0,four_rooms_9,0.1,68,4.23410650459726,8.246211251235321,0.5619834710743802,0.0,3.0588235294117645,0.8022459821756385,0.0,0.7058823529411765,0.23529411764705882,0.0,0.5441176470588235,16.0,16.0,12.0,1.6,33.33333333333331,39,5.713588409665802e-07,True,0.00891304505057633,74,39,"[0, 25, 28, 29, 38, 39, 64, 67]",39,76,0,37,True,0,37,0.1484375
train,four_rooms,11,0,four_rooms_11,0.0,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,0.0,33.33333333333331,21,0.0,True,0.010615054052323103,38,21,"[0, 41, 99, 103]",25,61,4,40,True,0,40,0.119140625
train,four_rooms,11,0,four_rooms_11,0.05,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,1.0,33.33333333333331,37,5.496304760340772e-07,True,0.012150897062383592,70,37,"[0, 41, 99, 103]",36,73,-1,36,True,0,36,0.142578125
train,four_rooms,11,0,four_rooms_11,0.1,104,4.653960350157523,10.198039027185569,0.6153846153846154,0.0,3.230769230769231,0.7497534111391512,0.0,0.8076923076923077,0.15384615384615385,0.0,0.625,20.0,20.0,14.0,2.0,33.33333333333331,45,6.487286078999416e-07,True,0.012412907090038061,86,45,"[0, 41, 99, 103]",48,84,3,39,True,0,39,0.1640625
train,four_rooms,13,0,four_rooms_13,0.0,148,5.003946305945459,12.165525060596439,0.6577777777777778,0.0,3.3513513513513513,0.7058143166054375,0.0,0.8648648648648649,0.10810810810810811,0.0,0.6824324324324325,24.0,24.0,18.0,0.0,33.33333333333331,25,0.0,True,0.01495263003744185,46,25,"[0, 61, 142, 147]",28,65,3,40,True,0,40,0.126953125
train,four_rooms,13,0,four_rooms_13,0.05,148,5.003946305945459,12.165525060596439,0.6577777777777778,0.0,3.3513513513513513,0.7058143166054375,0.0,0.8648648648648649,0.10810810810810811,0.0,0.6824324324324325,24.0,24.0,18.0,1.2000000000000002,33.33333333333331,42,6.576586818141746e-07,True,0.01681062497664243,80,42,"[0, 61, 142, 147]",40,77,-2,35,True,0,35,0.150390625
train,four_rooms,13,0,four_rooms_13,0.1,148,5.003946305945459,12.165525060596439,0.6577777777777778,0.0,3.3513513513513513,0.7058143166054375,0.0,0.8648648648648649,0.10810810810810811,0.0,0.6824324324324325,24.0,24.0,18.0,2.4000000000000004,33.33333333333331,50,9.159978054669593e-07,True,0.016584737924858928,96,50,"[0, 61, 142, 147]",52,89,2,39,True,0,39,0.173828125
train,four_rooms,15,0,four_rooms_15,0.0,200,5.303304908059076,14.142135623730951,0.6920415224913494,0.0,3.44,0.6681317235396026,0.0,0.9,0.08,0.0,0.725,28.0,28.0,20.0,0.0,33.33333333333331,29,0.0,True,0.01926574995741248,54,29,"[0, 85, 193, 199]",31,67,2,38,True,0,38,0.130859375
train,four_rooms,15,0,four_rooms_15,0.05,200,5.303304908059076,14.142135623730951,0.6920415224913494,0.0,3.44,0.6681317235396026,0.0,0.9,0.08,0.0,0.725,28.0,28.0,20.0,1.4000000000000001,33.33333333333331,47,5.060111959086399e-07,True,0.02193917497061193,90,47,"[0, 85, 193, 199]",44,80,-3,33,True,0,33,0.15625
train,four_rooms,15,0,four_rooms_15,0.1,200,5.303304908059076,14.142135623730951,0.6920415224913494,0.0,3.44,0.6681317235396026,0.0,0.9,0.08,0.0,0.725,28.0,28.0,20.0,2.8000000000000003,33.33333333333331,56,7.762020488988781e-07,True,0.021954240975901484,108,56,"[0, 85, 193, 199]",56,92,0,36,True,0,36,0.1796875
train,maze,9,0,maze_9_seed0,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.22580645161290322,0.9032258064516129,0.0,12.0,22.0,10.0,0.0,33.33333333333331,18,0.0,True,0.004211002960801125,29,13,"[0, 2, 17, 21, 30]",20,56,2,38,True,0,38,0.109375
train,maze,9,0,maze_9_seed0,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.22580645161290322,0.9032258064516129,0.0,12.0,22.0,10.0,0.6000000000000001,33.33333333333331,31,9.870732438307884e-07,True,0.004938636091537774,54,25,"[0, 2, 17, 21, 30]",30,66,-1,35,True,0,35,0.12890625
train,maze,9,0,maze_9_seed0,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.22580645161290322,0.9032258064516129,0.0,12.0,22.0,10.0,1.2000000000000002,33.33333333333331,38,9.005021285794558e-07,True,0.004918077029287815,66,30,"[0, 2, 17, 21, 30]",40,76,2,38,True,0,38,0.1484375
train,maze,9,1,maze_9_seed1,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.2903225806451613,0.8709677419354839,0.0,16.0,22.0,14.0,0.0,33.33333333333331,22,0.0,True,0.004267515032552183,37,17,"[0, 2, 18, 20, 27, 29, 30]",19,56,-3,34,True,0,34,0.109375
train,maze,9,1,maze_9_seed1,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.2903225806451613,0.8709677419354839,0.0,16.0,22.0,14.0,0.8,33.33333333333331,37,7.753325607501282e-07,True,0.005049934959970415,65,30,"[0, 2, 18, 20, 27, 29, 30]",30,66,-7,29,True,0,29,0.12890625
train,maze,9,1,maze_9_seed1,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.2903225806451613,0.8709677419354839,0.0,16.0,22.0,14.0,1.6,33.33333333333331,43,8.986885345889967e-07,True,0.005238094017840922,77,36,"[0, 2, 18, 20, 27, 29, 30]",41,77,-2,34,True,0,34,0.150390625
train,maze,9,2,maze_9_seed2,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.25806451612903225,0.9032258064516129,0.0,16.0,26.0,10.0,0.0,33.33333333333331,17,0.0,True,0.004180874093435705,31,17,"[0, 8, 12, 17, 19, 26, 30]",21,57,4,40,True,0,40,0.111328125
train,maze,9,2,maze_9_seed2,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.25806451612903225,0.9032258064516129,0.0,16.0,26.0,10.0,0.8,33.33333333333331,30,6.238063436143022e-07,True,0.005028499057516456,57,30,"[0, 8, 12, 17, 19, 26, 30]",31,68,1,38,True,0,38,0.1328125
train,maze,9,2,maze_9_seed2,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.3533693919388169,0.0967741935483871,0.03225806451612903,0.25806451612903225,0.9032258064516129,0.0,16.0,26.0,10.0,1.6,33.33333333333331,36,6.780542833789741e-07,True,0.005102716968394816,69,36,"[0, 8, 12, 17, 19, 26, 30]",42,79,6,43,True,0,43,0.154296875
train,maze,9,3,maze_9_seed3,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.22580645161290322,0.8709677419354839,0.0,24.0,24.0,12.0,0.0,33.33333333333331,25,0.0,True,0.004542645998299122,46,25,"[0, 4, 11, 13, 16, 22, 24, 30]",30,66,5,41,True,0,41,0.12890625
train,maze,9,3,maze_9_seed3,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.22580645161290322,0.8709677419354839,0.0,24.0,24.0,12.0,1.2000000000000002,33.33333333333331,40,5.218173674690937e-07,True,0.005247505032457411,76,40,"[0, 4, 11, 13, 16, 22, 24, 30]",42,78,2,38,True,0,38,0.15234375
train,maze,9,3,maze_9_seed3,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.22580645161290322,0.8709677419354839,0.0,24.0,24.0,12.0,2.4000000000000004,33.33333333333331,47,7.078890679712842e-07,True,0.00567561003845185,90,47,"[0, 4, 11, 13, 16, 22, 24, 30]",54,90,7,43,True,0,43,0.17578125
train,maze,9,4,maze_9_seed4,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.24567010018915833,0.06451612903225806,0.0,0.2903225806451613,0.9354838709677419,0.0,28.0,30.0,14.0,0.0,33.33333333333331,29,0.0,True,0.004588698968291283,54,29,"[0, 6, 8, 10, 11, 13, 18, 20, 24, 30]",29,66,0,37,True,0,37,0.12890625
