map,map_family,map_size,maze_seed,slip,n_states,required_k,proposed_k,learned_final_k,learned_attempts,learned_certified,proposal_inference_time_sec,fixed_operator_time_sec,adaptive_operator_time_sec,learned_operator_time_sec,learned_total_time_sec,learned_speedup_vs_fixed,learned_speedup_vs_adaptive,fixed_boundary_jaccard,proposal_boundary_jaccard,corrected_boundary_jaccard,proposal_frontier,corrected_frontier
maze_21_seed8,maze,21,8,0.0,199,69,137,137,1,True,0.003859583055600524,0.026940901996567845,0.019955359981395304,0.023023426067084074,0.026883009122684598,1.0021535116704772,0.7423038057356622,1.0,1.0,1.0,0.0,0.0
maze_21_seed8,maze,21,8,0.05,199,90,156,156,1,True,0.02128322096541524,0.03131051198579371,0.0227128240512684,0.025250017060898244,0.046533238026313484,0.6728633835472255,0.4880989377619674,1.0,1.0,1.0,8.566617490263666e-07,8.566617490263666e-07
maze_21_seed8,maze,21,8,0.1,199,102,174,174,1,True,0.004060247913002968,0.027326861047185957,0.022892758017405868,0.025556144071742892,0.02961639198474586,0.922693792723329,0.7729759259398292,1.0,1.0,1.0,9.698444311957266e-07,9.698444311957266e-07
maze_21_seed9,maze,21,9,0.0,199,117,171,171,1,True,0.004066910012625158,0.027402822044678032,0.021440144977532327,0.02505367004778236,0.02912058006040752,0.9410122321682404,0.7362540489597751,1.0,1.0,1.0,0.0,0.0
maze_21_seed9,maze,21,9,0.05,199,143,196,196,1,True,0.003958989982493222,0.027538727968931198,0.023578373016789556,0.025336815044283867,0.02929580502677709,0.9400229126238423,0.804837859729007,1.0,1.0,1.0,9.731108919900372e-07,9.731108919900372e-07
maze_21_seed9,maze,21,9,0.1,199,159,222,222,1,True,0.0038799670292064548,0.027144488063640893,0.024014941067434847,0.02617331105284393,0.030053278082050383,0.9032122216262727,0.7990789225012365,1.0,1.0,1.0,9.605439915883177e-07,9.605439915883177e-07
maze_21_seed10,maze,21,10,0.0,199,128,138,138,1,True,0.0042002080008387566,0.027324333088472486,0.02023337595164776,0.025620001018978655,0.029820209019817412,0.9163025339733112,0.6785122109037331,1.0,1.0,1.0,0.0,0.0
maze_21_seed10,maze,21,10,0.05,199,154,157,157,1,True,0.004062875988893211,0.02740311506204307,0.02287791797425598,0.02640260709449649,0.0304654830833897,0.8994807332296567,0.7509455179697908,1.0,1.0,1.0,9.220413658028873e-07,9.220413658028873e-07
maze_21_seed10,maze,21,10,0.1,199,171,177,177,1,True,0.005071916966699064,0.027775343973189592,0.023056779988110065,0.025915391044691205,0.03098730801139027,0.8963458188423458,0.7440717334863322,1.0,1.0,1.0,9.143954863335353e-07,9.143954863335353e-07
maze_21_seed11,maze,21,11,0.0,199,128,164,164,1,True,0.004018248058855534,0.02735012595076114,0.0213659789878875,0.02504895895253867,0.029067207011394203,0.9409272084531556,0.735054419900479,1.0,1.0,1.0,0.0,0.0
maze_21_seed11,maze,21,11,0.05,199,155,189,189,1,True,0.003858451033011079,0.027504028053954244,0.023992897011339664,0.02581840008497238,0.02967685111798346,0.9267839079223422,0.8084717922381106,1.0,1.0,1.0,5.705271857968179e-07,5.705271857968179e-07
maze_21_seed11,maze,21,11,0.1,199,172,215,215,1,True,0.004193918081000447,0.027331118006259203,0.024653204018250108,0.02592410589568317,0.030118023976683617,0.9074671707353064,0.8185531705976398,1.0,1.0,1.0,7.38287206787542e-07,7.38287206787542e-07
maze_25_seed8,maze,25,8,0.0,287,176,183,183,1,True,0.0056275620590895414,0.03687875403556973,0.02972568292170763,0.03621462394949049,0.04184218600858003,0.8813773264142434,0.7104237554799879,1.0,1.0,1.0,0.0,0.0
maze_25_seed8,maze,25,8,0.05,287,205,212,212,1,True,0.005865300074219704,0.03805948200169951,0.033207077998667955,0.03605256893206388,0.04191786900628358,0.9079536461167506,0.792193849207605,1.0,1.0,1.0,8.884634243765322e-07,8.884634243765322e-07
maze_25_seed8,maze,25,8,0.1,287,225,241,241,1,True,0.005882787052541971,0.03628942708019167,0.03369714098516852,0.03585110907442868,0.04173389612697065,0.8695432357857317,0.8074285919207923,1.0,1.0,1.0,9.493678878538033e-07,9.493678878538033e-07
maze_25_seed9,maze,25,9,0.0,287,198,209,209,1,True,0.005640394985675812,0.03565484099090099,0.030399365932680666,0.035934058018028736,0.04157445300370455,0.8576141936906282,0.7312030282147522,1.0,1.0,1.0,0.0,0.0
maze_25_seed9,maze,25,9,0.05,287,228,242,242,1,True,0.005697899032384157,0.036314455908723176,0.034208655008114874,0.03655249800067395,0.04225039703305811,0.8595056723445591,0.8096646992772374,1.0,1.0,1.0,7.808222215656596e-07,7.808222215656596e-07
maze_25_seed9,maze,25,9,0.1,287,249,275,275,1,True,0.005599704105407,0.03570780297741294,0.0362380490405485,0.03722369694150984,0.04282340104691684,0.8338385579952388,0.8462207147173224,1.0,1.0,1.0,9.006992518910604e-07,9.006992518910604e-07
maze_25_seed10,maze,25,10,0.0,287,104,131,131,1,True,0.005758672021329403,0.03895215899683535,0.028286096057854593,0.03421074594371021,0.03996941796503961,0.9745490672620243,0.7076934691067013,1.0,1.0,1.0,0.0,0.0
maze_25_seed10,maze,25,10,0.05,287,129,148,148,1,True,0.005844707018695772,0.036991653963923454,0.030841480009257793,0.03562380198854953,0.0414685090072453,0.8920420543082545,0.7437325514613806,1.0,1.0,1.0,9.206533052972562e-07,9.206533052972562e-07
maze_25_seed10,maze,25,10,0.1,287,144,165,165,1,True,0.00587150698993355,0.037662905058823526,0.03183240001089871,0.03497134905774146,0.040842856047675014,0.922141806509819,0.7793872194868403,1.0,1.0,1.0,9.250042067692699e-07,9.250042067692699e-07
maze_25_seed11,maze,25,11,0.0,287,97,161,161,1,True,0.005882392986677587,0.03702038701158017,0.028553335927426815,0.033493697992525995,0.03937609097920358,0.9401742552639983,0.725143995184977,1.0,1.0,1.0,0.0,0.0
maze_25_seed11,maze,25,11,0.05,287,121,184,184,1,True,0.005659444956108928,0.03705163800623268,0.03155485901515931,0.03454301704186946,0.04020246199797839,0.9216260936480917,0.7848986715476796,1.0,1.0,1.0,6.469396744239332e-07,6.469396744239332e-07
maze_25_seed11,maze,25,11,0.1,287,135,207,207,1,True,0.005883171921595931,0.03671848599333316,0.03279502899385989,0.03539497603196651,0.04127814795356244,0.8895381167449941,0.7944888668637462,1.0,1.0,1.0,9.489858027893378e-07,9.489858027893378e-07
