map,map_family,map_size,maze_seed,slip,n_states,required_k,proposed_k,learned_final_k,learned_attempts,learned_certified,proposal_inference_time_sec,fixed_operator_time_sec,adaptive_operator_time_sec,learned_operator_time_sec,learned_total_time_sec,learned_speedup_vs_fixed,learned_speedup_vs_adaptive,fixed_boundary_jaccard,proposal_boundary_jaccard,corrected_boundary_jaccard,proposal_frontier,corrected_frontier
corridor_256,corridor,256,0,0.0,256,0,0,0,1,True,0.004652261966839433,0.0028605919796973467,0.002201954019255936,0.0027466859901323915,0.007398947956971824,0.3866214489320593,0.2976036636642505,1.0,1.0,1.0,0.0,0.0
corridor_256,corridor,256,0,0.05,256,0,0,0,1,True,0.0044314529513940215,0.002787907957099378,0.0026293229311704636,0.0028211050666868687,0.00725255801808089,0.38440339948319235,0.3625373178146891,1.0,1.0,1.0,0.0,0.0
corridor_256,corridor,256,0,0.1,256,0,0,0,1,True,0.004358728998340666,0.002839684020727873,0.0025924929650500417,0.002932512084953487,0.007291241083294153,0.3894651113970456,0.3555626450193804,1.0,1.0,1.0,0.0,0.0
corridor_512,corridor,512,0,0.0,512,0,0,0,1,True,0.00932606402784586,0.005735720042139292,0.004423705977387726,0.005652662017382681,0.014978726045228541,0.3829244239343305,0.29533259130517936,1.0,1.0,1.0,0.0,0.0
corridor_512,corridor,512,0,0.05,512,0,0,0,1,True,0.00879716593772173,0.005642611067742109,0.005241184961050749,0.005781656946055591,0.01457882288377732,0.3870416091014427,0.3595067312933002,1.0,1.0,1.0,0.0,0.0
corridor_512,corridor,512,0,0.1,512,0,0,0,1,True,0.008728313958272338,0.005828947992995381,0.005314234062097967,0.005712294951081276,0.014440608909353614,0.4036497373195806,0.3680062312785009,1.0,1.0,1.0,0.0,0.0
open_room_20,open_room,20,0,0.0,400,39,72,72,1,True,0.009788858937099576,0.04999666998628527,0.03705101693049073,0.04456185700837523,0.0543507159454748,0.9198898140816111,0.6817024630855036,1.0,1.0,1.0,0.0,0.0
open_room_20,open_room,20,0,0.05,400,57,86,86,1,True,0.009954088018275797,0.0495565579039976,0.040850750054232776,0.04479123302735388,0.05474532104562968,0.9052199705376228,0.7461961912723845,1.0,1.0,1.0,9.95683399718557e-07,9.95683399718557e-07
open_room_20,open_room,20,0,0.1,400,67,100,100,1,True,0.009876128984615207,0.04945459100417793,0.04194477491546422,0.04482808103784919,0.054704210022464395,0.9040362886854467,0.7667558840213489,1.0,1.0,1.0,9.010731430291111e-07,9.010731430291111e-07
open_room_24,open_room,24,0,0.0,576,47,72,72,1,True,0.01443755894433707,0.06900712696369737,0.05294668802525848,0.06364236806984991,0.07807992701418698,0.8838011202438613,0.6781088309116653,1.0,1.0,1.0,0.0,0.0
open_room_24,open_room,24,0,0.05,576,67,87,87,1,True,0.015030522015877068,0.06990888109430671,0.06002053897827864,0.06467934604734182,0.07970986806321889,0.8770417363990755,0.7529875589641624,1.0,1.0,1.0,8.467257521587482e-07,8.467257521587482e-07
open_room_24,open_room,24,0,0.1,576,78,102,102,1,True,0.014815512928180397,0.06979781400877982,0.060898488969542086,0.06647173303645104,0.08128724596463144,0.8586564002814078,0.7491764328691782,1.0,1.0,1.0,8.202881056299866e-07,8.202881056299866e-07
open_room_32,open_room,32,0,0.0,1024,63,63,63,1,True,0.029497766983695328,0.1279272499959916,0.09384147298987955,0.117492959019728,0.14699072600342333,0.8703083077024345,0.638417644033502,1.0,1.0,1.0,0.0,0.0
open_room_32,open_room,32,0,0.05,1024,85,80,160,2,True,0.047558092046529055,0.12299730407539755,0.10419712599832565,0.2365585759980604,0.28411666804458946,0.4329112576249637,0.36674063058480216,1.0,1.0,1.0,2.5136896171354188e-05,6.68420115172482e-07
open_room_32,open_room,32,0,0.1,1024,98,98,98,1,True,0.028121622977778316,0.12104867899324745,0.11759380798321217,0.11797305196523666,0.14609467494301498,0.8285632521545576,0.8049150869398921,1.0,1.0,1.0,8.59197412797731e-07,8.59197412797731e-07
four_rooms_19,four_rooms,19,0,0.0,328,37,68,68,1,True,0.008172531961463392,0.041777441976591945,0.03014501603320241,0.03746676607988775,0.04563929804135114,0.9153830967939036,0.6605056897652051,1.0,1.0,1.0,0.0,0.0
four_rooms_19,four_rooms,19,0,0.05,328,56,82,82,1,True,0.008061702945269644,0.04219910001847893,0.033606719924136996,0.037630707025527954,0.0456924099707976,0.9235472597188182,0.7354989580461029,1.0,1.0,1.0,8.27284710128947e-07,8.27284710128947e-07
four_rooms_19,four_rooms,19,0,0.1,328,66,96,96,1,True,0.008092585951089859,0.04153439193032682,0.03390857100021094,0.037066867924295366,0.045159453875385225,0.9197275070008255,0.7508631768174077,1.0,1.0,1.0,9.873454723953116e-07,9.873454723953116e-07
four_rooms_21,four_rooms,21,0,0.0,404,41,67,67,1,True,0.009758900036104023,0.049577408004552126,0.037019037059508264,0.044617348932661116,0.05437624896876514,0.9117474806515329,0.6807942394256135,1.0,1.0,1.0,0.0,0.0
four_rooms_21,four_rooms,21,0,0.05,404,61,82,82,1,True,0.009749892051331699,0.05003679799847305,0.04190844402182847,0.04558098595589399,0.05533087800722569,0.9043196096027739,0.7574151275234712,1.0,1.0,1.0,6.371401207007837e-07,6.371401207007837e-07
four_rooms_21,four_rooms,21,0,0.1,404,71,96,96,1,True,0.00979298900347203,0.0506569619756192,0.04198061104398221,0.04516500304453075,0.05495799204800278,0.921739679487801,0.7638672644246983,1.0,1.0,1.0,9.867300822719612e-07,9.867300822719612e-07
four_rooms_31,four_rooms,31,0,0.0,904,61,55,110,2,True,0.024069022038020194,0.10650610004086047,0.08361219801008701,0.20407523412723094,0.22814425616525114,0.4668366490178705,0.3664882886620841,1.0,1.0,1.0,0.1872601576378607,0.0
four_rooms_31,four_rooms,31,0,0.05,904,84,72,144,2,True,0.024255892960354686,0.10955624200869352,0.09344258497003466,0.20943564898334444,0.23369154194369912,0.4688070483744241,0.3998543729603479,1.0,1.0,1.0,0.0013063879588029986,8.183190309188834e-07
four_rooms_31,four_rooms,31,0,0.1,904,97,89,178,2,True,0.02562702097930014,0.10995840304531157,0.09396618197206408,0.21157673106063157,0.23720375203993171,0.4635609770068088,0.3961412126240123,1.0,1.0,1.0,3.04605850200615e-05,8.795951812054633e-07
maze_19_seed8,maze,19,8,0.0,161,96,128,128,1,True,0.003188295988366008,0.023805743898265064,0.01734061597380787,0.020632760017178953,0.02382105600554496,0.9993572028344867,0.7279532851008536,1.0,1.0,1.0,0.0,0.0
maze_19_seed8,maze,19,8,0.05,161,120,150,150,1,True,0.003229415975511074,0.025243379059247673,0.019258923013694584,0.021099295001477003,0.024328710976988077,1.0375962410472448,0.7916129642836861,1.0,1.0,1.0,7.905918184116664e-07,7.905918184116664e-07
maze_19_seed8,maze,19,8,0.1,161,134,171,171,1,True,0.0032342550111934543,0.02323476306628436,0.019814824918285012,0.021547458949498832,0.024781713960692286,0.9375769207544871,0.799574434186209,1.0,1.0,1.0,9.66365788396013e-07,9.66365788396013e-07
maze_19_seed9,maze,19,9,0.0,161,118,136,136,1,True,0.003242757054977119,0.023313874029554427,0.01726603100541979,0.022567126085050404,0.025809883140027523,0.9032925063266894,0.6689697474314631,1.0,1.0,1.0,0.0,0.0
maze_19_seed9,maze,19,9,0.05,161,144,155,155,1,True,0.0031812830129638314,0.023284947965294123,0.01966033095959574,0.02069505793042481,0.02387634094338864,0.9752310046377406,0.8234231118667154,1.0,1.0,1.0,6.916352766503218e-07,6.916352766503218e-07
maze_19_seed9,maze,19,9,0.1,161,160,175,175,1,True,0.0031392370583489537,0.02331160008907318,0.01982762000989169,0.021296896040439606,0.02443613309878856,0.9539807298818843,0.8114057952514041,1.0,1.0,1.0,8.326230148701626e-07,8.326230148701626e-07
maze_19_seed10,maze,19,10,0.0,161,90,117,117,1,True,0.0032045849366113544,0.02332673198543489,0.01683234900701791,0.01931947807315737,0.022524063009768724,1.0356360650970495,0.7473051820054709,1.0,1.0,1.0,0.0,0.0
maze_19_seed10,maze,19,10,0.05,161,113,134,134,1,True,0.003196445992216468,0.023202487034723163,0.01900106598623097,0.021180458017624915,0.024376904009841383,0.9518225540600198,0.7794700253387349,1.0,1.0,1.0,9.279381819540383e-07,9.279381819540383e-07
maze_19_seed10,maze,19,10,0.1,161,127,151,151,1,True,0.0032928710570558906,0.023160451091825962,0.019315695040859282,0.02011658705305308,0.02340945811010897,0.9893629738410954,0.8251235440823012,1.0,1.0,1.0,9.720612236245869e-07,9.720612236245869e-07
maze_19_seed11,maze,19,11,0.0,161,117,153,153,1,True,0.0031420690938830376,0.023064211942255497,0.01857531105633825,0.021202185074798763,0.0243442541686818,0.9474191233152239,0.7630265001190657,1.0,1.0,1.0,0.0,0.0
maze_19_seed11,maze,19,11,0.05,161,143,178,178,1,True,0.0033004400320351124,0.023350855917669833,0.02122891100589186,0.02178161998745054,0.025082060019485652,0.9309783925056041,0.8463782874851438,1.0,1.0,1.0,6.367202760174094e-07,6.367202760174094e-07
maze_19_seed11,maze,19,11,0.1,161,159,204,204,1,True,0.003157489001750946,0.02336603100411594,0.02185695304069668,0.02236559404991567,0.025523083051666617,0.9154862269897356,0.8563602209204682,1.0,1.0,1.0,8.39406603170935e-07,8.39406603170935e-07
