map,slip,gamma,option_set,critical_kind,critical_top_fraction,local_horizon,n_states,n_boundary,n_options,option_pair_count,n_edges_valid,kernel_entries_valid,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,value_gap_max,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,graph_cost,option_cost,policy_cost_total,policy_cost_mean,bypass_cost,nonlocal_cost_component,start_gap_cost,value_gap_cost,description_length_proxy,step,split_strategy,candidate_limit,policy_cost_mode,lambda_start_gap,lambda_value_gap,lambda_bypass,lambda_policy,lambda_graph,lambda_option,lambda_nonlocal,split_objective,candidate_split_state,candidate_split_coord,candidate_split_score,candidate_split_objective,objective_delta,evaluated_candidates,selected_split_state,selected_split_coord,selected_split_score,stop_reason
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,3,3,6,12,12,8,3.5429115646258507,7.180049267651943,8.252273040649794,0.6918327118287699,4.15099627097262,0.0,0.11523431808972262,-12.30114607026525,-12.185911752175528,0.11523431808972262,to_001,101.60000000000001,17.0,33.86666666666667,5.666666666666667,7.0,3.3,28.820000000000004,9.606666666666667,4.15099627097262,0.0,0.11523431808972262,0.11523431808972262,43.270996270972624,1,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,443.8394020871315,26,"(3, 7)",3.9501900418943534,57.06874211609206,386.77065997103944,7,26,"(3, 7)",3.9501900418943534,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,4,4,12,26,26,8,3.5429115646258507,4.792766937262452,6.178973029495659,0.017787472605118714,0.21344967126142458,0.0,0.11523431809045093,-12.301146070265979,-12.185911752175528,0.11523431809045093,to_001,141.20000000000002,23.0,35.300000000000004,5.75,10.5,4.6,39.74000000000001,9.935000000000002,0.21344967126142458,0.0,0.11523431809045093,0.11523431809045093,55.053449671261426,2,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,57.06874211609206,14,"(2, 5)",0.10146769762370918,55.72342524469231,1.3453168713997528,6,14,"(2, 5)",0.10146769762370918,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,5,5,20,51,51,8,3.5429115646258507,3.7592517675054196,6.178973029495659,0.005859825127522494,0.11719650255044989,0.0,0.1152343180877029,-12.301146070263231,-12.185911752175528,0.1152343180877029,to_002,180.7,29.0,36.14,5.8,15.2,6.0,50.64,10.128,0.11719650255044989,0.0,0.1152343180877029,0.1152343180877029,71.95719650255046,3,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,55.72342524469231,36,"(4, 7)",0.10321012892107832,54.22971669769777,1.4937085469945401,5,36,"(4, 7)",0.10321012892107832,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,6,6,30,84,84,8,3.5429115646258507,3.164275131880544,6.178653980475449,0.0005819805695723191,0.01745941708716957,0.0,0.11523431808164375,-12.301146070257172,-12.185911752175528,0.11523431808164375,to_002,220.2,35.0,36.699999999999996,5.833333333333333,20.0,7.5,61.54,10.256666666666666,0.01745941708716957,0.0,0.11523431808164375,0.11523431808164375,89.05745941708716,4,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,54.22971669769777,15,"(2, 7)",0.008689526984983,62.37337277423899,-8.14365607654122,4,,,0.0,no_objective_improvement
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,2,2,2,2,2,12,3.197784810126583,36.0,36.0,0.9523766328783501,1.9047532657567001,56.0,3.552713678800501e-15,-22.199077937496828,-22.199077937496824,3.552713678800501e-15,to_001,134.0,65.0,67.0,32.5,3.0,2.1,59.3,29.65,1.9047532657567001,56.0,3.552713678800501e-15,3.552713678800501e-15,71.90475326575671,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,213.0353265756704,57,"(5, 19)",0.23760702531645564,211.39136100575752,1.6439655699128934,11,57,"(5, 19)",0.23760702531645564,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,3,3,6,6,6,12,3.197784810126583,18.333333333333332,36.0,0.2956522683429292,1.7739136100575752,80.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,200.0,97.0,66.66666666666667,32.333333333333336,5.0,3.3,88.5,29.500000000000004,1.7739136100575752,80.0,0.0,0.0,106.57391361005757,1,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,211.39136100575752,55,"(5, 17)",0.32510224195699317,190.2011368100582,21.19022419569933,10,55,"(5, 17)",0.32510224195699317,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,4,4,12,12,12,12,3.197784810126583,12.333333333333334,36.0,0.1207342806750485,1.448811368100582,100.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,268.0,130.0,67.0,32.5,7.0,4.6,118.6,29.65,1.448811368100582,100.0,0.0,0.0,141.64881136810058,2,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,190.2011368100582,76,"(7, 15)",0.10196855961284415,468.9837387650373,-278.7826019549791,9,,,0.0,no_objective_improvement
maze,0.05,0.97,targeted,bottleneck,0.15,8.0,81,2,2,2,4,4,12,3.197784810126583,36.59602130325803,36.59617254342743,0.9396823947501534,1.8793647895003067,53.18362573099398,2.7636559707389097e-11,-23.00654011886129,-23.006540118833655,2.7636559707389097e-11,to_001,125.4666666666667,65.0,62.73333333333335,32.5,4.0,2.1,57.59333333333334,28.79666666666667,1.8793647895003067,53.18362573099398,2.7636559707389097e-11,2.7636559707389097e-11,70.89106069593305,0,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,210.87350819283674,57,"(5, 19)",0.23806359441599084,210.33341267564296,0.5400955171937767,11,57,"(5, 19)",0.23806359441599084,continue
maze,0.05,0.97,targeted,bottleneck,0.15,8.0,81,3,3,6,15,15,12,3.197784810126583,18.526390904573883,36.56108482412918,0.29047940736386235,1.7428764441831741,75.55101587476238,2.893330020015128e-11,-23.00654011886259,-23.006540118833655,2.893330020015128e-11,to_002,187.2666666666667,97.0,62.42222222222224,32.333333333333336,8.0,3.3,85.95333333333335,28.651111111111117,1.7428764441831741,75.55101587476238,2.893330020015128e-11,2.893330020015128e-11,106.55131136499274,1,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,210.33341267564296,55,"(5, 17)",0.31958243072624815,190.885243604937,19.448169070705973,10,55,"(5, 17)",0.31958243072624815,continue
maze,0.05,0.97,targeted,bottleneck,0.15,8.0,81,4,4,12,30,30,12,3.197784810126583,12.427040986560753,36.525997104830935,0.11860784718736615,1.4232941662483938,94.18493643641831,2.8386182293616002e-11,-23.00654011886204,-23.006540118833655,2.8386182293616002e-11,to_003,250.9333333333334,130.0,62.73333333333335,32.5,11.5,4.6,115.18666666666668,28.79666666666667,1.4232941662483938,94.18493643641831,2.8386182293616002e-11,2.8386182293616002e-11,142.12845447655693,2,weighted_objective,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,190.885243604937,76,"(7, 15)",0.09943702026389348,459.7487935080288,-268.86354990309184,9,,,0.0,no_objective_improvement
