option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_000_to_003,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,-3.8235729999999997,open_room,0.0,2
fb_001_to_003,6,"(1, 7)",34,"(5, 7)",4.0,True,True,1.0,0.0,0.0,,,0.0,-3.823573,open_room,0.0,2
fb_002_to_003,28,"(5, 1)",34,"(5, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,-5.567599835699999,open_room,0.0,2
fb_001_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.06416353811193333,0.9358364618880669,0.8236069192964655,6,"(1, 7)",0.935836461453894,-4.332039004404954,open_room,0.05,0
fb_000_to_001,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.06416353811193333,0.9358364618880667,0.8236069192964657,28,"(5, 1)",0.9358364614538938,-4.332039004404955,open_room,0.05,0
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,0.9999999938131268,6.1868732518842665e-09,4.471971358880575e-09,28,"(5, 1)",6.1868732518842665e-09,-5.994087865458839,open_room,0.05,1
fb_002_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,0.9999999995658273,4.3417287375003936e-10,2.832513836847338e-10,28,"(5, 1)",4.3417287375003936e-10,-4.332039004404954,open_room,0.05,1
fb_000_to_001,0,"(1, 1)",6,"(1, 7)",6.0,True,True,0.9999999035764953,9.642350469677185e-08,8.440908977807416e-08,28,"(5, 1)",9.642350469677185e-08,-5.994087865458839,open_room,0.05,1
fb_002_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,0.9999999999627933,3.7206795262507756e-11,3.0087543823158634e-11,28,"(5, 1)",3.7206795262507756e-11,-4.119704630606855,open_room,0.05,1
fb_000_to_002,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.06416353854610621,0.9358364614538938,0.8236069190132143,28,"(5, 1)",0.9358364614538938,-4.332039004404955,open_room,0.05,1
fb_001_to_002,6,"(1, 7)",34,"(5, 7)",4.0,True,True,0.9999999946408199,5.359179968182262e-09,3.869606620869691e-09,28,"(5, 1)",5.359179968182262e-09,-4.119704630606856,open_room,0.05,1
