map,slip,map_size,maze_seed,n_states,n_candidates,top_state,teacher_time_sec,max_violation_reduction
maze_11_seed0_goal0,0.1,11,0,49,20,8,2.2340008339378983,116.589459288558
maze_11_seed0_goal1,0,11,0,49,20,8,1.4150037909857929,77.72630619237201
maze_11_seed0_goal1,0.05,11,0,49,20,8,2.086992986034602,116.589459288558
maze_11_seed0_goal1,0.1,11,0,49,20,8,2.4698831220157444,116.589459288558
maze_11_seed1_goal0,0,11,1,49,19,1,0.9825091630918905,77.72630619237201
maze_11_seed1_goal0,0.05,11,1,49,19,1,1.649148468975909,116.589459288558
maze_11_seed1_goal0,0.1,11,1,49,19,1,2.09575134399347,116.589459288558
maze_11_seed1_goal1,0,11,1,49,20,1,1.3709810168948025,77.72630619237201
maze_11_seed1_goal1,0.05,11,1,49,20,1,1.9961751520168036,116.589459288558
maze_11_seed1_goal1,0.1,11,1,49,20,1,2.310892347129993,116.589459288558
maze_11_seed2_goal0,0,11,2,49,19,8,1.2464608979644254,77.72630619237201
maze_11_seed2_goal0,0.05,11,2,49,19,8,1.9429459880338982,116.589459288558
maze_11_seed2_goal0,0.1,11,2,49,19,8,2.3399956059874967,116.589459288558
maze_11_seed2_goal1,0,11,2,49,18,8,1.2605304090538993,77.72630619237201
maze_11_seed2_goal1,0.05,11,2,49,18,8,1.9505385030061007,116.589459288558
maze_11_seed2_goal1,0.1,11,2,49,18,8,2.1795044409809634,116.589459288558
maze_11_seed3_goal0,0,11,3,49,22,1,0.7947390909539536,77.72630619237201
maze_11_seed3_goal0,0.05,11,3,49,22,1,1.5266603229101747,116.589459288558
maze_11_seed3_goal0,0.1,11,3,49,22,1,1.7455657370155677,116.589459288558
maze_11_seed3_goal1,0,11,3,49,22,1,1.4237971330294386,77.72630619237201
maze_11_seed3_goal1,0.05,11,3,49,22,1,1.9208254180848598,116.589459288558
maze_11_seed3_goal1,0.1,11,3,49,22,1,2.356756602996029,116.589459288558
maze_11_seed4_goal0,0,11,4,49,18,1,1.1108477739617229,77.72630619237201
maze_11_seed4_goal0,0.05,11,4,49,18,1,1.7978061629692093,116.589459288558
maze_11_seed4_goal0,0.1,11,4,49,18,1,2.068640699144453,116.589459288558
maze_11_seed4_goal1,0,11,4,49,19,1,1.355836219037883,77.72630619237201
maze_11_seed4_goal1,0.05,11,4,49,19,1,2.0258930089185014,116.589459288558
maze_11_seed4_goal1,0.1,11,4,49,19,1,2.3054858340183273,116.589459288558
maze_11_seed5_goal0,0,11,5,49,17,1,1.0400877090869471,77.72630619237201
maze_11_seed5_goal0,0.05,11,5,49,17,1,1.6400694899493828,116.589459288558
maze_11_seed5_goal0,0.1,11,5,49,17,1,1.9924194270279258,116.589459288558
maze_11_seed5_goal1,0,11,5,49,16,1,1.5910320229595527,77.72630619237201
maze_11_seed5_goal1,0.05,11,5,49,16,1,2.2210579389939085,116.589459288558
maze_11_seed5_goal1,0.1,11,5,49,16,1,2.7138338841032237,116.589459288558
maze_13_seed0_goal0,0,13,0,71,29,9,1.5030138479778543,77.72630619237201
maze_13_seed0_goal0,0.05,13,0,71,29,9,2.514285751967691,116.589459288558
maze_13_seed0_goal0,0.1,13,0,71,29,9,2.9630088730482385,116.589459288558
maze_13_seed0_goal1,0,13,0,71,27,9,2.639744144049473,77.72630619237201
maze_13_seed0_goal1,0.05,13,0,71,27,9,3.532896314980462,116.589459288558
maze_13_seed0_goal1,0.1,13,0,71,27,9,4.266746146953665,116.589459288558
maze_13_seed1_goal0,0,13,1,71,31,1,2.148755764006637,77.72630619237201
maze_13_seed1_goal0,0.05,13,1,71,31,1,3.1628276410046965,116.589459288558
